Tipo_Fundo_Classe;CNPJ_Fundo_Classe;Nome_Fundo_Classe;Data_Referencia;Versao;Data_Entrega;Link_Download;Parecer_Auditor
CLASSES - FII;18.369.510/0001-04;FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-26;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=999776;Sem ressalva e sem ênfase
CLASSES - FII;18.730.914/0001-73;FUNDO DE INVESTIMENTO IMOBILIÁRIO EXCLUSIVO INFRA PATRIMONIAL II RESPONSABILIDADE LIMITADA;2025-06-30;2;2025-09-30;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001845;Com ressalva
CLASSES - FII;18.979.895/0001-13;CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-26;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=999896;Sem ressalva e sem ênfase
CLASSES - FII;19.249.956/0001-50;LA DÉFENSE FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001014;Sem ressalva e sem ênfase
CLASSES - FII;19.249.989/0001-08;RB CAPITAL DESENVOLVIMENTO RESIDENCIAL III FII - RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-23;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=995716;Sem ressalva e sem ênfase
CLASSES - FII;20.019.120/0001-48;4KIDS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-05;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=985835;Sem ressalva e com ênfase
CLASSES - FII;20.132.453/0001-89;BTOWERS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-30;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1002914;Sem ressalva e sem ênfase
CLASSES - FII;20.990.694/0001-69;FGRP FUNDO DE INVESTIMENTO IMOBILIÁRIO;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001455;Abstenção de opinião
CLASSES - FII;21.500.514/0001-86;PARKING PARTNERS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII - RESP LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001271;Sem ressalva e sem ênfase
CLASSES - FII;22.459.737/0001-00;MULTI SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001737;Sem ressalva e sem ênfase
CLASSES - FII;23.648.935/0001-84;FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS - FII RESPONSABILIDADE LIMITA;2025-06-30;1;2025-09-22;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=994968;Sem ressalva e sem ênfase
CLASSES - FII;23.740.595/0001-17;FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SHOPPING;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001163;Sem ressalva e sem ênfase
CLASSES - FII;23.876.086/0001-16;JT PREV FUNDO DE INVESTIMENTO IMOBILIÁRIO D. HAB;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001639;Com ressalva
CLASSES - FII;23.964.843/0001-03;BRIO REAL ESTATE II - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1000979;Sem ressalva e com ênfase
CLASSES - FII;24.960.430/0001-13;KINEA ÍNDICES DE PREÇOS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-25;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=998956;Sem ressalva e sem ênfase
CLASSES - FII;26.091.656/0001-50;OURINVEST JPP FUNDO DE INVESTIMENTO IMOBILIÁRIO DE  RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001362;Sem ressalva e sem ênfase
CLASSES - FII;26.269.251/0001-60;WHITE BEAR FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2025-06-30;1;2025-09-26;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=999150;Com ressalva
CLASSES - FII;26.452.179/0001-01;VIRACONDO FUNDO DE INVESTIMENTO IMOBILIÁRIO;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001458;Abstenção de opinião
CLASSES - FII;26.846.280/0001-47;FUNDO DE INVESTIMENTO IMOBILIÁRIO FUTURO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001521;Abstenção de opinião
CLASSES - FII;27.445.482/0001-40;HEDGE AAA FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-26;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=999602;Sem ressalva e sem ênfase
CLASSES - FII;27.539.651/0001-00;TRADE INVEST CARE II FUNDO DE INVESTIMENTO IMOBILIÁRIO;2025-06-30;1;2025-09-26;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=999800;Abstenção de opinião
CLASSES - FII;28.267.696/0001-36;RIZA ARCTIUM REAL ESTATE FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001495;Sem ressalva e com ênfase
CLASSES - FII;28.516.325/0001-40;XP INDUSTRIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001731;Sem ressalva e sem ênfase
CLASSES - FII;28.737.771/0001-85;ALIANZA TRUST RENDA IMOBILIÁRIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1000942;Sem ressalva e sem ênfase
CLASSES - FII;28.830.325/0001-10;FUNDO DE INVESTIMENTO IMOBILIÁRIO IRIDIUM RECEBÍVEIS IMOBILIÁRIOS RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001710;Sem ressalva e sem ênfase
CLASSES - FII;28.899.178/0001-35;FII HIRE PROPERTIES I - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2025-06-30;1;2025-10-02;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1004747;Sem ressalva e sem ênfase
CLASSES - FII;29.467.977/0001-03;FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR RENDIMENTO HIGH GRADE RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-11;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=988930;Sem ressalva e sem ênfase
CLASSES - FII;29.852.732/0001-91;VALORA CRI CDI FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-09;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=986849;Sem ressalva e sem ênfase
CLASSES - FII;30.091.444/0001-40;FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-24;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=998030;Sem ressalva e sem ênfase
F.I.I.;30.130.708/0001-28;KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO  RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-26;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=999869;Sem ressalva e sem ênfase
CLASSES - FII;30.166.700/0001-11;FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR CRÉDITO IMOBILIÁRIO ESTRUTURADO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-22;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=994973;Sem ressalva e sem ênfase
CLASSES - FII;30.629.603/0001-18;FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI LOGÍSTICO - RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-22;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=994961;Sem ressalva e sem ênfase
CLASSES - FII;30.846.692/0001-54;METROPOLITANO - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001138;Sem ressalva e com ênfase
CLASSES - FII;30.982.880/0001-00;JPP CAPITAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE  RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001303;Sem ressalva e sem ênfase
CLASSES - FII;31.161.410/0001-48;RB CAPITAL DESENVOLVIMENTO RESIDENCIAL IV FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII - RESP. LTDA.;2025-06-30;2;2025-09-25;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=998217;Sem ressalva e sem ênfase
CLASSES - FII;31.373.514/0001-16;SÃO JORGE FUNDO DE INVESTIMENTO IMOBILIÁRIO;2025-06-30;1;2025-09-30;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001803;Abstenção de opinião
CLASSES - FII;31.544.514/0001-31;FUNDO DE INVESTIMENTO IMOBILIARIO MIRANTE DAS AGUAS;2025-06-30;1;2025-09-16;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=992893;Abstenção de opinião
